7273|益阳|怀化|422|1036
7274|新晃|益阳|561|1239
7275|怀化|新晃|435|523
7452|昆明|红果|450|1131
7454|红果|昆明|450|1067
7501|陇西|兰州|905|1165
7502|兰州|陇西|597|861
7503|天水|陇西|852|1111
7504|陇西|天水|388|566
7505|兰州|武威南|1053|1348
7506|武威南|兰州|675|1019
7507|武威南|嘉峪关|620|1384
7508|嘉峪关|武威南|665|1302
7510|兰州|干塘|466|890
7511|银川|长庆桥|381|1174
7513|长庆桥|银川|539|1382
7515|白银西|长征|670|800
7516|长征|白银西|1055|1198
7519|中卫|武威|1012|1400
7520|武威|中卫|555|978
7524|银川|汝箕沟|430|680
7529|嘉峪关|镜铁山|385|542
7530|镜铁山|嘉峪关|1020|1179
7531|银川|中卫|446|902
7532|中卫|银川|923|1407
7535|嘉峪关|敦煌|490|853
7537|敦煌|嘉峪关|922|1299
7556|乌鲁木齐南|和田|993|1362
7558|喀什|乌鲁木齐南|1073|2496
7565|喀什|和田|540|871
7566|和田|喀什|1025|1368
C1001|长春|延吉西|347|484
C1002|延吉西|长春|375|510
C1003|长春|珲春|390|580
C1004|延吉西|长春|462|599
C1005|长春|延吉西|412|549
C1006|延吉西|长春|601|744
C1007|长春|延吉西|447|579
C1008|珲春|长春|600|785
C1009|长春|珲春|500|679
C1010|延吉西|长春|685|822
C1011|长春|延吉西|540|665
C1012|珲春|长春|701|880
C1013|长春|珲春|568|746
C1014|珲春|长春|830|1015
C1015|长春|珲春|620|799
C1016|延吉西|长春|937|1075
C1017|长春|延吉西|780|917
C1018|延吉西|长春|974|1126
C1019|长春|延吉西|811|954
C1020|延吉西|长春|1043|1187
C1021|长春|延吉西|872|1009
C1022|珲春|长春|1058|1237
C1023|长春|珲春|910|1095
C1024|延吉西|长春|1114|1257
C1025|长春|珲春|1035|1208
C1026|珲春|长春|1120|1305
C1027|长春|延吉西|1148|1286
C1028|延吉西|长春|1220|1357
C1029|长春|敦化|1261|1357
C1030|敦化|长春|395|497
C1031|延吉西|珲春|346|380
C1032|珲春|延吉西|1234|1268
C1034|珲春|延吉西|1286|1320
C1037|延吉西|珲春|423|457
C1041|长春|延吉西|1132|1269
C1042|珲春|长春|502|687
C1043|长春|珲春|746|938
C1044|珲春|长春|984|1178
C1201|长春西|吉林|408|472
C1202|吉林|长春|395|445
C1203|长春西|吉林|422|480
C1204|吉林|长春|493|538
C1205|长春|吉林|473|518
C1206|吉林|长春|504|554
C1207|长春|吉林|556|601
C1208|吉林|长春|583|628
C1209|长春|吉林|590|640
C1210|吉林|长春|652|703
C1211|长春|吉林|668|713
C1212|吉林|长春|688|733
C1213|长春|吉林|725|775
C1214|吉林|长春|733|778
C1215|长春|吉林|753|798
C1216|吉林|长春|796|841
C1217|长春|吉林|798|843
C1218|吉林|长春|828|873
C1219|长春|吉林|861|906
C1220|吉林|长春|870|920
C1221|长春|吉林|898|943
C1222|吉林|长春|927|972
C1223|长春|吉林|952|1002
C1224|吉林|长春|968|1008
C1225|长春|吉林|994|1039
C1226|吉林|长春|1023|1069
C1227|长春|吉林|1028|1068
C1228|吉林|长春|1065|1110
C1229|长春|吉林|1089|1135
C1230|吉林|长春|1106|1156
C1231|长春|吉林|1215|1255
C1232|吉林|长春|1160|1205
C1233|长春|吉林|1179|1225
C1234|吉林|长春|1276|1321
C1235|长春|吉林|1225|1270
C1236|吉林|长春|1245|1285
C1238|吉林|长春|1296|1336
C1241|长春西|吉林|517|570
